  
 LENS DETECTOR DISTRIBUTION, CONSTANT LASER POSITION, BARE channel, bare ball, CY5 fluorophore, with media/coating definitions, new excitation spot/emission calculations
 EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 144       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 169       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 196       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 225       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 256       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 289       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 324       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 , ,, , ,60              
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 25        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 36        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 49        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 64        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 81        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 100       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 121       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 144       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 169       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 196       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 225       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 256       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 289       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 60               , 335       , 52.10293, 449      , 0          , 324       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 , ,, , ,70              
